position_x_lambda,intensity_marked,intensity_erased
-175.38461,1.0,0.0015886966644740735
-175.28694,1.0,0.0018623865347360139
-175.18925,1.0,0.002186372163768071
-175.09157,1.0,0.0025788077224717146
-174.9939,1.0,0.0030811273031905394
-174.89621,1.0,0.0036636359281649314
-174.79854,1.0,0.0042190906737283335
-174.70085,1.0,0.004890371186888936
-174.60318,1.0,0.005694411541862137
-174.5055,1.0,0.006578219269809466
-174.40782,1.0,0.007464719582780002
-174.31013,1.0,0.008418943970256143
-174.21245,1.0,0.00952896061827834
-174.11478,1.0,0.010623845378474932
-174.01709,1.0,0.011885900190402794
-173.91942,1.0,0.013226731753352308
-173.82173,1.0,0.014422634285754068
-173.72406,1.0,0.015908311767230645
-173.62637,1.0,0.017349052534697606
-173.52869,1.0,0.018984733768926367
-173.43102,1.0,0.020563497935810297
-173.33333,1.0,0.022348223467846522
-173.23566,1.0,0.02406408580179946
-173.13797,1.0,0.02599677028643179
-173.0403,1.0,0.02784869433166632
-172.94261,1.0,0.029928205978730676
-172.84494,1.0,0.03191508927873707
-172.74725,1.0,0.03414017896345191
-172.64957,1.0,0.03626084817205573
-172.5519,1.0,0.03863018854656123
-172.45421,1.0,0.040883374983211374
-172.35654,1.0,0.04319969233298844
-172.25885,1.0,0.04577992457105006
-172.16118,1.0,0.048226747349078544
-172.06349,1.0,0.050947566014606906
-171.9658,1.0,0.053523437316053545
-171.86813,1.0,0.056383233947001205
-171.77045,1.0,0.05885900415294145
-171.67278,1.0,0.06208367233259889
-171.57509,1.0,0.06491293751829931
-171.47742,1.0,0.06780203358101107
-171.37973,1.0,0.07075057429428507
-171.28206,1.0,0.07401143531448141
-171.18437,1.0,0.07734105442049957
-171.08669,1.0,0.08047511583077877
-170.98901,1.0,0.0833986887152493
-170.89133,1.0,0.0869158720961931
-170.79366,1.0,0.09049973087349912
-170.69597,1.0,0.09414971748561927
-170.5983,1.0,0.09728931806763026
-170.50061,1.0,0.10135247897930773
-170.40292,1.0,0.10489460574434305
-170.30525,1.0,0.10879323418871051
-170.20757,1.0,0.11214138727534234
-170.1099,1.0,0.11615610854578526
-170.0122,1.0,0.12023278249423827
-169.91454,1.0,0.12405029360641322
-169.81685,1.0,0.12791950039545677
-169.71918,1.0,0.1321689300123256
