# Validacion de Hipótesis (Born)
# Parametros: N_waves=1000000, Sigma=0.05, Lambda0=0.0, Seed=12345
# Metricas: MAE=2.173564e-05, R2=1.00000000
# Alpha_Rad,Intensity_Sim,Malus_Theoretical
1.120122194290161133e+00,1.896965205669403076e-01,1.897233575582504272e-01
1.137624025344848633e+00,1.761658489704132080e-01,1.761919111013412476e-01
1.155125975608825684e+00,1.630317568778991699e-01,1.630570888519287109e-01
1.172627925872802734e+00,1.503106206655502319e-01,1.503350883722305298e-01
1.190129756927490234e+00,1.380179077386856079e-01,1.380415409803390503e-01
1.207631707191467285e+00,1.261686831712722778e-01,1.261913627386093140e-01
1.225133657455444336e+00,1.147773414850234985e-01,1.147991418838500977e-01
1.242635488510131836e+00,1.038580462336540222e-01,1.038789302110671997e-01
1.260137438774108887e+00,9.342402219772338867e-02,9.344396740198135376e-02
1.277639389038085938e+00,8.348814398050308228e-02,8.350708335638046265e-02
1.295141220092773438e+00,7.406260073184967041e-02,7.408051937818527222e-02
1.312643170356750488e+00,6.515885144472122192e-02,6.517571210861206055e-02
1.330145120620727539e+00,5.678779631853103638e-02,5.680362880229949951e-02
1.347646951675415039e+00,4.895981028676033020e-02,4.897457733750343323e-02
1.365148901939392090e+00,4.168434813618659973e-02,4.169804230332374573e-02
1.382650852203369141e+00,3.497042879462242126e-02,3.498299792408943176e-02
1.400152683258056641e+00,2.882625721395015717e-02,2.883770316839218140e-02
1.417654633522033691e+00,2.325931750237941742e-02,2.326961047947406769e-02
1.435156583786010742e+00,1.827641762793064117e-02,1.828558556735515594e-02
1.452658414840698242e+00,1.388374809175729752e-02,1.389175839722156525e-02
1.470160365104675293e+00,1.008660066872835159e-02,1.009345427155494690e-02
1.487662315368652344e+00,6.889692042022943497e-03,6.895356811583042145e-03
1.505164146423339844e+00,4.296922590583562851e-03,4.301401320844888687e-03
1.522666096687316895e+00,2.311448100954294205e-03,2.314731013029813766e-03
1.540167927742004395e+00,9.357146918773651123e-04,9.378055692650377750e-04
1.557669878005981445e+00,1.713963865768164396e-04,1.722937595332041383e-04
1.575171828269958496e+00,1.944615542015526444e-05,1.914489075716119260e-05
1.592673659324645996e+00,4.800425085704773664e-04,4.785413620993494987e-04
1.610175609588623047e+00,1.552621251903474331e-03,1.549926586449146271e-03
1.627677559852600098e+00,3.235867014154791832e-03,3.231986658647656441e-03
1.645179390907287598e+00,5.527710076421499252e-03,5.522643215954303741e-03
1.662681341171264648e+00,8.425380103290081024e-03,8.419121615588665009e-03
1.680183291435241699e+00,1.192530430853366852e-02,1.191785931587219238e-02
1.697685122489929199e+00,1.602315343916416168e-02,1.601454056799411774e-02
1.715187072753906250e+00,2.071395516395568848e-02,2.070420235395431519e-02
1.732689023017883301e+00,2.599195018410682678e-02,2.598106861114501953e-02
1.750190854072570801e+00,3.185064345598220825e-02,3.183864057064056396e-02
1.767692804336547852e+00,3.828296065330505371e-02,3.826981410384178162e-02
1.785194754600524902e+00,4.528094455599784851e-02,4.526668041944503784e-02
1.802696585655212402e+00,5.283594876527786255e-02,5.282060056924819946e-02
1.820198535919189453e+00,6.093882024288177490e-02,6.092243641614913940e-02
1.837700486183166504e+00,6.957960128784179688e-02,6.956220418214797974e-02
1.855202317237854004e+00,7.874768227338790894e-02,7.872925698757171631e-02
1.872704267501831055e+00,8.843196928501129150e-02,8.841249346733093262e-02
1.890206217765808105e+00,9.862045198678970337e-02,9.859999269247055054e-02
1.907708048820495605e+00,1.093006059527397156e-01,1.092791706323623657e-01
1.925209999084472656e+00,1.204594299197196960e-01,1.204371303319931030e-01
1.942711949348449707e+00,1.320832967758178711e-01,1.320601105690002441e-01
1.960213780403137207e+00,1.441577970981597900e-01,1.441337764263153076e-01
1.977715730667114258e+00,1.566684246063232422e-01,1.566435247659683228e-01
1.995217561721801758e+00,1.695995181798934937e-01,1.695738434791564941e-01
2.012719631195068359e+00,1.829356551170349121e-01,1.829091459512710571e-01
2.030221462249755859e+00,1.966600120067596436e-01,1.966327577829360962e-01
2.047723293304443359e+00,2.107560187578201294e-01,2.107280194759368896e-01
2.065225362777709961e+00,2.252065688371658325e-01,2.251779139041900635e-01
2.082727193832397461e+00,2.399935722351074219e-01,2.399642765522003174e-01
2.100229024887084961e+00,2.550991475582122803e-01,2.550692558288574219e-01
2.117731094360351562e+00,2.705049514770507812e-01,2.704744338989257812e-01
2.135232925415039062e+00,2.861916422843933105e-01,2.861606776714324951e-01
2.152734756469726562e+00,3.021404147148132324e-01,3.021089136600494385e-01
2.170236825942993164e+00,3.183316290378570557e-01,3.182997703552246094e-01
2.187738656997680664e+00,3.347454369068145752e-01,3.347130417823791504e-01
2.205240488052368164e+00,3.513615429401397705e-01,3.513287603855133057e-01
2.222742319107055664e+00,3.681597411632537842e-01,3.681266903877258301e-01
2.240244388580322266e+00,3.851197063922882080e-01,3.850863277912139893e-01
2.257746219635009766e+00,4.022203087806701660e-01,4.021866321563720703e-01
2.275248050689697266e+00,4.194405674934387207e-01,4.194066822528839111e-01
2.292750120162963867e+00,4.367597997188568115e-01,4.367257654666900635e-01
2.310251951217651367e+00,4.541563093662261963e-01,4.541220963001251221e-01
2.327753782272338867e+00,4.716088771820068359e-01,4.715746343135833740e-01
2.345255851745605469e+00,4.890965819358825684e-01,4.890622496604919434e-01
2.362757682800292969e+00,5.065973401069641113e-01,5.065630078315734863e-01
2.380259513854980469e+00,5.240901112556457520e-01,5.240557193756103516e-01
2.397761583328247070e+00,5.415535569190979004e-01,5.415192246437072754e-01
2.415263414382934570e+00,5.589658021926879883e-01,5.589316487312316895e-01
